Year,State,Population
2010,W.P. Kuala Lumpur,3349500
2010,W.P. Labuan,176400
2010,W.P. Putrajaya,146800
2011,Johor,6820900
2011,Kedah,3943700
2011,Kelantan,3237600
2011,Melaka,1666400
2011,Negeri Sembilan,2094800
2011,Pahang,3053600
2011,Perak,4805400
2011,Perlis,474700
2011,Pulau Pinang,3201900
2011,Sabah,6690900
2011,Sarawak,5055800
2011,Selangor,11200600
2011,Terengganu,2158000
2011,W.P. Kuala Lumpur,3386000
2011,W.P. Labuan,178800
2011,W.P. Putrajaya,154900
2012,Johor,6900800
2012,Kedah,4002200
2012,Kelantan,3302000
2012,Melaka,1686400
2012,Negeri Sembilan,2115500
2012,Pahang,3094200
2012,Perak,4853900
2012,Perlis,478800
2012,Pulau Pinang,3246400
2012,Sabah,6865500
2012,Sarawak,5139400
2012,Selangor,11404800
2012,Terengganu,2188200
2012,W.P. Kuala Lumpur,3404200
2012,W.P. Labuan,181100
2012,W.P. Putrajaya,156600
2013,Johor,6948800
2013,Kedah,4079499
2013,Kelantan,3367000
2013,Melaka,1713300
2013,Negeri Sembilan,2144300
2013,Pahang,3137500
2013,Perak,4894400
2013,Perlis,484200
2013,Pulau Pinang,3325200
2013,Sabah,7223000
2013,Sarawak,5285000
2013,Selangor,11809500
2013,Terengganu,2226800
2013,W.P. Kuala Lumpur,3446800
2013,W.P. Labuan,182800
2013,W.P. Putrajaya,159300
2014,Johor,7119600
2014,Kedah,4125499
2014,Kelantan,3446900
2014,Melaka,1743400
2014,Negeri Sembilan,2159200
2014,Pahang,3183400
2014,Perak,4917600
2014,Perlis,490200
2014,Pulau Pinang,3356200
2014,Sabah,7339900
2014,Sarawak,5327900
2014,Selangor,12102600
2014,Terengganu,2280800
2014,W.P. Kuala Lumpur,3474800
2014,W.P. Labuan,187600
2014,W.P. Putrajaya,161800
2015,Johor,7220600
2015,Kedah,4193000
2015,Kelantan,3521200
2015,Melaka,1778000
2015,Negeri Sembilan,2177600
2015,Pahang,3215800
2015,Perak,4933800
2015,Perlis,497000
2015,Pulau Pinang,3396200
2015,Sabah,7441000
2015,Sarawak,5403000
2015,Selangor,12356000
2015,Terengganu,2322000
2015,W.P. Kuala Lumpur,3560800
2015,W.P. Labuan,190200
2015,W.P. Putrajaya,166000
2016,Johor,7303600
2016,Kedah,4239399
2016,Kelantan,3593500
2016,Melaka,1802200
2016,Negeri Sembilan,2198600
2016,Pahang,3253400
2016,Perak,4964300
2016,Perlis,502000
2016,Pulau Pinang,3435300
2016,Sabah,7605600
2016,Sarawak,5477400
2016,Selangor,12583000
2016,Terengganu,2366800
2016,W.P. Kuala Lumpur,3579400
2016,W.P. Labuan,193600
2016,W.P. Putrajaya,168900
2017,Johor,7394100
2017,Kedah,4287800
2017,Kelantan,3658000
2017,Melaka,1826200
2017,Negeri Sembilan,2227900
2017,Pahang,3294100
2017,Perak,4986400
2017,Perlis,504000
2017,Pulau Pinang,3488200
2017,Sabah,7711800
2017,Sarawak,5532600
2017,Selangor,12761400
2017,Terengganu,2416000
2017,W.P. Kuala Lumpur,3586400
2017,W.P. Labuan,195100
2017,W.P. Putrajaya,175000
2018,Johor,7498800
2018,Kedah,4325900
2018,Kelantan,3721000
2018,Melaka,1844900
2018,Negeri Sembilan,2245800
2018,Pahang,3329500
2018,Perak,5006900
2018,Perlis,507000
2018,Pulau Pinang,3525600
2018,Sabah,7796800
2018,Sarawak,5583300
2018,Selangor,12950100
2018,Terengganu,2456600
2018,W.P. Kuala Lumpur,3580100
2018,W.P. Labuan,198000
2018,W.P. Putrajaya,194300
2019,Johor,7522400
2019,Kedah,4347500
2019,Kelantan,3767600
2019,Melaka,1856800
2019,Negeri Sembilan,2252400
2019,Pahang,3342900
2019,Perak,5017600
2019,Perlis,508100
2019,Pulau Pinang,3537600
2019,Sabah,7808800
2019,Sarawak,5612000
2019,Selangor,13012200
2019,Terengganu,2489000
2019,W.P. Kuala Lumpur,3565000
2019,W.P. Labuan,198600
2019,W.P. Putrajaya,207400
2020,Johor,8019400
2020,Kedah,4262799
2020,Kelantan,3585000
2020,Melaka,1996800
2020,Negeri Sembilan,2400000
2020,Pahang,3182600
2020,Perak,4992000
2020,Perlis,569700
2020,Pulau Pinang,3480900
2020,Sabah,6837600
2020,Sarawak,4907400
2020,Selangor,13988900
2020,Terengganu,2298900
2020,W.P. Kuala Lumpur,3964200
2020,W.P. Labuan,190200
2020,W.P. Putrajaya,218400
2021,Johor,8039900
2021,Kedah,4303400
2021,Kelantan,3624600
2021,Melaka,2009000
2021,Negeri Sembilan,2408300
2021,Pahang,3202900
2021,Perak,5031600
2021,Perlis,575200
2021,Pulau Pinang,3480000
2021,Sabah,6825200
2021,Sarawak,4931200
2021,Selangor,14029400
2021,Terengganu,2341300
2021,W.P. Kuala Lumpur,3928000
2021,W.P. Labuan,192000
2021,W.P. Putrajaya,230400
2022,Johor,8056500
2022,Kedah,4326200
2022,Kelantan,3661100
2022,Melaka,2017200
2022,Negeri Sembilan,2415700
2022,Pahang,3228500
2022,Perak,5028900
2022,Perlis,579600
2022,Pulau Pinang,3481800
2022,Sabah,6829900
2022,Sarawak,4947000
2022,Selangor,14100600
2022,Terengganu,2373200
2022,W.P. Kuala Lumpur,3922300
2022,W.P. Labuan,193700
2022,W.P. Putrajaya,234000
2023,Johor,8214400
2023,Kedah,4378600
2023,Kelantan,3719600
2023,Melaka,2056600
2023,Negeri Sembilan,2449800
2023,Pahang,3286400
2023,Perak,5082500
2023,Perlis,586200
2023,Pulau Pinang,3545200
2023,Sabah,7193500
2023,Sarawak,5004700
2023,Selangor,14419400
2023,Terengganu,2420100
2023,W.P. Kuala Lumpur,4011400
2023,W.P. Labuan,198000
2023,W.P. Putrajaya,237600
2024,Johor,8372600
2024,Kedah,4435000
2024,Kelantan,3777000
2024,Melaka,2094099
2024,Negeri Sembilan,2480200
2024,Pahang,3336400
2024,Perak,5139200
2024,Perlis,593600
2024,Pulau Pinang,3600800
2024,Sabah,7484400
2024,Sarawak,5036100
2024,Selangor,14726800
2024,Terengganu,2464200
2024,W.P. Kuala Lumpur,4135000
2024,W.P. Labuan,201600
2024,W.P. Putrajaya,240600
